trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,2,-14.735797158786433,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",20,7,-41.35942737362627,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",20,0,-60.313282502013884,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,16,8.820138716071865,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",20,0,-16.020284396937623,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,0,-35.315937008850824,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,10,9.216382580968986,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",20,0,-2.300872404943739,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,14,-3.1087264018822394,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",20,0,-4.504234888464579,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,0,-55.24942690708028,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,6,2.165898581024941,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,7,-8.17990811250559,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",20,16,5.188070049528205,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",20,15,11.237662310701076,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,5,6.527920389939078,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,11,5.23010412916331,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,11,6.801456168836895,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,0,16.98785146366397,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,6,-12.429491971281575,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",20,6,8.630591117424117,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,5,-6.195687101606703,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,8,21.620091613719836,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",20,9,-1.3262853404764299,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,10,10.455441524800035,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,14,1.5360735054102514,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,4,-12.643906131803552,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,11,4.660784731377696,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,13,16.104698889722112,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",20,4,11.681672445329978,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",20,12,4.183024339344598,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,6,16.06433732692198,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,12,14.87769863739933,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.25785003253266964}",20,2,1.1314315794314045,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,14,9.368439729112724,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,4,2.6614040584882366,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,3,-11.227209078444837,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,9,8.220311829277051,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,12,14.889692687232678,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,0,-9.652682883139088,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",20,15,9.705697603412073,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",20,5,17.29193533801368,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,15,2.003964566179551,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,3,8.697316884259639,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,10,16.794384468413924,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",20,13,11.241425723159743,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,10,13.227957226978196,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",20,10,21.70978480621862,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",20,6,3.2184609831776205,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",20,10,20.361372901571972,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",20,6,24.821091201553482,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",20,10,17.264605307674852,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,8,21.01994036418396,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,5,30.51767527094467,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",20,7,28.082454095319875,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,13,10.610572540683055,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.03079145908246612}",20,6,25.27511489675248,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.020794827803092428}",20,14,12.125922925952544,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
